  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   864    2967       2       1      13       1       0
   865    2969       2       1      13       1       0
   866    2971       2       1      13       1       0
   867    2973       2       1      13       1       0
   868    2975       2       1      13       1       0
   869    2977       2       1      13       1       0
   870    2979       2       1      13       1       0
   871    2981       2       1      13       1       0
   872    2983       2       1      13       1       0
   873    2985       2       1      13       1       0
   874    2987       2       1      13       1       0
   875    2989       2       1      13       1       0
   876    2991       2       1      13       1       0
   877    2993       2       1      13       1       0
   878    2995       2       1      13       1       0
   879    2997       2       1      13       1       0
   880    2999       2       1      13       1       0
   881    3001       2       1      13       1       0
   882    3003       2       1      13       1       0
   883    3005       2       1      13       1       0
   884    3007       2       1      13       1       0
   885    3009       2       1      13       1       0
   886    3011       2       1      13       1       0
   887    3013       2       1      13       1       0
   888    3015       2       1      13       1       0
   889    3017       2       1      13       1       0
   890    3019       2       1      13       1       0
   891    3021       2       1      13       1       0
   892    3023       2       1      13       1       0
   893    3025       2       1      13       1       0
   894    3027       2       1      13       1       0
   895    3029       2       1      13       1       0
   896    3031       2       1      13       1       0
   897    3033       2       1      13       1       0
   898    3035       2       1      13       1       0
   899    3037       2       1      13       1       0
   900    3039       2       1      13       1       0
   901    3041       2       1      13       1       0
   902    3043       2       1      13       1       0
   903    3045       2       1      13       1       0
   904    3047       2       1      14       0       0
   905    3049       2       1      15       0       0
   906    3051       2       1      14       2       0
   907    3053       2       1      14       1       0
   908    3055       2       1      15       0       0
   909    3057       2       1      15       1       0
   910    3059       2       1      14       2       0
   911    3061       2       1      14       1       0
   912    3063       2       1      14       1       0
   913    3065       2       1      14       1       0
   914    3067       2       1      14       1       0
   915    3069       2       1      14       1       0
   916    3071       2       1      14       1       0
   917    3073       2       1      14       1       0
   918    3075       2       1      14       1       0
   919    3077       2       1      13       2       0
   920    3079       2       1      14       0       0
   921    3081       2       1      14       1       0
   922    3083       2       1      15       0       0
   923    3085       2       1      15       0       1
   924    3087       2       1      15       1       0
   925    3089       2       1      15       1       0
   926    3091       2       1      14       2       0
   927    3093       2       1      14       1       0
   928    3095       2       1      14       1       0
   929    3097       2       1      14       1       0
   930    3099       2       1      15       0       0
   931    3101       2       1      15       1       0
   932    3103       2       1      15       1       0
   933    3105       2       1      13       3       0
   934    3107       2       1      13       1       0
   935    3109       2       1      14       0       0
   936    3111       2       1      14       1       0
   937    3113       2       1      14       1       0
   938    3115       2       1      14       1       0
   939    3117       2       1      14       1       0
   940    3119       2       1      14       1       0
   941    3121       2       1      14       1       0
   942    3123       2       1      14       1       0
   943    3125       2       1      13       2       0
   944    3127       2       1      13       1       0
   945    3129       2       1      13       1       0
   946    3131       2       1      13       1       0
   947    3133       2       1      12       2       0
   948    3135       2       1      13       0       0
   949    3137       2       1      13       1       0
   950    3139       2       1      13       1       0
   951    3141       2       1      13       1       0
   952    3143       2       1      13       1       0
   953    3145       2       1      12       2       0
   954    3147       2       1      12       1       0
   955    3149       2       1      12       1       0
   956    3151       2       1      12       1       0
   957    3153       2       1      12       1       0
   958    3155       2       1      13       0       0
   959    3157       2       1      13       1       0
   960    3159       2       1      13       1       0
   961    3161       2       1      13       1       0
   962    3163       2       1      13       1       0
   963    3165       2       1      13       1       0
   964    3167       2       1      13       1       0
   965    3169       2       1      13       1       0
   966    3171       2       1      13       1       0
   967    3173       2       1      13       1       0
   968    3175       2       1      13       1       0
   969    3177       2       1      13       1       0
   970    3179       2       1      13       1       0
   971    3181       2       1      13       1       0
   972    3183       2       1      13       1       0
   973    3185       2       1      13       1       0
   974    3187       2       1      12       2       0
   975    3189       2       1      12       1       0
   976    3191       2       1      13       0       0
   977    3193       2       1      13       1       0
   978    3195       2       1      14       0       0
   979    3197       2       1      14       1       0
   980    3199       2       1      14       1       0
   981    3201       2       1      15       0       0
   982    3203       2       1      15       1       0
   983    3205       2       1      14       2       0
   984    3207       2       1      14       1       0
   985    3209       2       1      14       1       0
   986    3211       2       1      14       1       0
   987    3213       2       1      14       1       0
   988    3215       2       1      14       1       0
   989    3217       2       1      14       1       0
   990    3219       2       1      15       0       0
   991    3221       2       1      15       1       0
   992    3223       2       1      15       1       0
   993    3225       2       1      15       1       0
   994    3227       2       1      15       1       0
   995    3229       2       1      15       1       0
   996    3231       2       1      15       1       0
   997    3233       2       1      14       2       0
   998    3235       2       1      15       0       0
   999    3237       2       1      14       2       0
  1000    3239       2       1      14       1       0
  1001    3241       2       1      15       0       0
  1002    3243       2       1      15       1       0
  1003    3245       2       1      15       1       0
  1004    3247       2       1      15       0       1
  1005    3249       2       1      13       3       0
  1006    3251       2       1      13       1       0
  1007    3253       2       1      12       2       0
  1008    3255       2       1      12       1       0
  1009    3257       2       1      12       1       0
  1010    3259       2       1      13       0       0
  1011    3261       2       1      13       1       0
  1012    3263       2       1      12       2       0
  1013    3265       2       1      13       0       0
  1014    3267       2       1      13       1       0
  1015    3269       2       1      13       1       0
  1016    3271       2       1      13       1       0
  1017    3273       2       1      13       1       0
  1018    3275       2       1      13       1       0
  1019    3277       2       1      12       2       0
  1020    3279       2       1      12       1       0
  1021    3281       2       1      13       0       0
  1022    3283       2       1      14       0       0
  1023    3285       2       1      14       1       0
  1024    3287       2       1      13       2       0
  1025    3289       2       1      13       1       0
  1026    3291       2       1      13       1       0
  1027    3293       2       1      13       1       0
  1028    3295       2       1      13       1       0
  1029    3297       2       1      13       1       0
  1030    3299       2       1      14       0       0
  1031    3301       2       1      14       1       0
  1032    3303       2       1      14       1       0
  1033    3305       2       1      13       2       0
  1034    3310       5       1      14       3       0
  1035    3312       2       1      15       0       0
  1036    3316       4       1      16       2       0
  1037    3318       2       1      16       1       0
  1038    3322       4       1      18       1       0
  1039    3324       2       1      17       2       0
  1040    3326       2       1      18       0       0
  1041    3328       2       1      18       1       0
  1042    3330       2       1      19       0       0
  1043    3332       2       1      18       2       0
  1044    3334       2       1      17       2       0
  1045    3336       2       1      17       1       0
  1046    3338       2       1      17       1       0
  1047    3340       2       1      17       0       1
  1048    3342       2       1      16       1       1
  1049    3344       2       1      16       1       0
  1050    3346       2       1      16       1       0
  1051    3348       2       1      16       0       1
  1052    3350       2       1      16       1       0
  1053    3352       2       1      16       1       0
  1054    3354       2       1      16       1       0
  1055    3356       2       1      14       3       0
  1056    3358       2       1      14       1       0
  1057    3360       2       1      15       0       0
  1058    3362       2       1      15       1       0
  1059    3364       2       1      15       1       0
  1060    3366       2       1      15       1       0
  1061    3368       2       1      14       2       0
  1062    3370       2       1      14       1       0
  1063    3372       2       1      14       1       0
  1064    3374       2       1      14       1       0
  1065    3376       2       1      14       1       0
  1066    3378       2       1      15       0       0
  1067    3380       2       1      15       1       0
  1068    3382       2       1      14       2       0
  1069    3384       2       1      14       1       0
  1070    3391       7       1      17       3       0
  1071    3396       5       1      16       5       0
  1072    3399       3       1      16       2       0
  1073    3402       3       1      16       2       0
  1074    3406       4       1      18       1       0
  1075    3408       2       1      16       3       0
  1076    3410       2       1      15       2       0
  1077    3413       3       1      16       1       0
  1078    3415       2       1      17       0       0
  1079    3421       6       1      14       8       0
  1080    3425       4       1      17       0       0
  1081    3429       4       1      16       4       0
  1082    3432       3       1      15       3       0
  1083    3437       5       1      15       4       0
  1084    3441       4       1      16       2       0
  1085    3445       4       1      14       5       0
  1086    3450       5       1      15       3       0
  1087    3454       4       1      15       3       0
  1088    3460       6       1      14       6       0
  1089    3465       5       1      17       1       0
  1090    3468       3       1      15       4       0
  1091    3472       4       1      16       2       0
  1092    3475       3       1      15       3       0
  1093    3477       2       1      16       0       0
  1094    3481       4       1      16       3       0
  1095    3483       2       1      15       2       0
  1096    3486       3       1      16       1       0
  1097    3488       2       1      16       1       0
  1098    3490       2       1      16       1       0
  1099    3493       3       1      16       2       0
  1100    3495       2       1      16       1       0
  1101    3498       3       1      17       1       0
  1102    3500       2       1      16       2       0
  1103    3503       3       1      16       2       0
  1104    3506       3       1      18       0       0
  1105    3508       2       1      18       1       0
  1106    3510       2       1      17       1       1
  1107    3513       3       1      17       2       0
  1108    3516       3       1      17       2       0
  1109    3518       2       1      17       1       0
  1110    3520       2       1      17       1       0
  1111    3523       3       1      17       1       1
  1112    3525       2       1      17       0       1
  1113    3532       7       1      14       9       0
  1114    3536       4       1      13       4       0
  1115    3538       2       1      12       2       0
  1116    3541       3       1      13       1       0
  1117    3544       3       1      15       0       0
  1118    3547       3       1      15       2       0
  1119    3550       3       1      16       1       0
  1120    3553       3       1      17       1       0
  1121    3556       3       1      18       1       0
  1122    3559       3       1      18       2       0
  1123    3562       3       1      17       3       0
  1124    3565       3       1      19       0       0
  1125    3567       2       1      19       1       0
  1126    3569       2       1      19       0       1
  1127    3571       2       1      18       2       0
  1128    3573       2       1      17       1       1
  1129    3575       2       1      16       1       1
  1130    3577       2       1      16       0       1
  1131    3579       2       1      16       1       0
  1132    3581       2       1      15       2       0
  1133    3583       2       1      15       1       0
  1134    3585       2       1      15       0       1
  1135    3587       2       1      15       1       0
  1136    3589       2       1      14       2       0
  1137    3591       2       1      14       1       0
  1138    3593       2       1      14       1       0
  1139    3595       2       1      14       1       0
  1140    3597       2       1      14       1       0
  1141    3599       2       1      14       1       0
  1142    3601       2       1      14       1       0
  1143    3603       2       1      15       0       0
  1144    3605       2       1      15       1       0
  1145    3607       2       1      15       1       0
  1146    3609       2       1      14       2       0
  1147    3611       2       1      15       0       0
  1148    3613       2       1      15       1       0
  1149    3615       2       1      15       1       0
  1150    3617       2       1      15       1       0
  1151    3619       2       1      15       1       0
  1152    3621       2       1      15       1       0
  1153    3623       2       1      15       1       0
  1154    3625       2       1      15       1       0
  1155    3628       3       1      16       1       0
  1156    3630       2       1      16       0       1
  1157    3635       5       1      18       2       0
  1158    3639       4       1      19       2       0
  1159    3642       3       1      18       3       0
  1160    3644       2       1      18       1       0
  1161    3647       3       1      19       1       0
  1162    3650       3       1      21       0       0
  1163    3652       2       1      20       2       0
  1164    3654       2       1      20       0       1
  1165    3663       9       1      15      13       0
  1166    3668       5       1      10       9       0
  1167    3672       4       1      12       1       0
  1168    3677       5       1      11       5       0
  1169    3680       3       1       9       4       0
  1170    3683       3       1       9       2       0
  1171    3686       3       1      10       1       0
  1172    3689       3       1      10       2       0
  1173    3691       2       1       8       3       0
  1174    3698       7       1      13       1       0
  1175    3703       5       1      15       2       0
  1176    3708       5       1      11       8       0
  1177    3710       2       1       9       3       0
  1178    3713       3       1      10       1       0
  1179    3715       2       1      10       1       0
  1180    3721       6       1      12       3       0
  1181    3726       5       1      11       5       0
  1182    3732       6       1      14       2       0
  1183    3737       5       1      16       2       0
  1184    3742       5       1      15       5       0
  1185    3746       4       1      15       3       0
  1186    3749       3       1      14       3       0
  1187    3752       3       1      15       1       0
  1188    3755       3       1      15       2       0
  1189    3758       3       1      15       2       0
  1190    3762       4       1      16       2       0
  1191    3765       3       1      15       3       0
  1192    3768       3       1      15       2       0
  1193    3771       3       1      15       2       0
  1194    3774       3       1      16       1       0
  1195    3776       2       1      16       1       0
  1196    3779       3       1      15       3       0
  1197    3782       3       1      15       2       0
  1198    3784       2       1      16       0       0
  1199    3786       2       1      17       0       0
  1200    3789       3       1      16       3       0
  1201    3791       2       1      16       1       0
  1202    3793       2       1      16       1       0
  1203    3796       3       1      18       0       0
  1204    3801       5       1      19       3       0
  1205    3805       4       1      18       4       0
  1206    3808       3       1      19       1       0
  1207    3812       4       1      19       3       0
  1208    3816       4       1      19       3       0
  1209    3819       3       1      19       2       0
  1210    3823       4       1      21       1       0
  1211    3827       4       1      20       2       2
  1212    3830       3       1      19       2       1
  1213    3833       3       1      18       3       0
  1214    3837       4       1      20       1       0
  1215    3840       3       1      18       4       0
  1216    3844       4       1      18       3       0
  1217    3847       3       1      17       3       0
  1218    3850       3       1      18       1       0
  1219    3854       4       1      19       2       0
  1220    3857       3       1      20       1       0
  1221    3862       5       1      21       3       0
  1222    3865       3       1      20       3       0
  1223    3868       3       1      20       2       0
  1224    3871       3       1      18       4       0
  1225    3875       4       1      20       1       0
  1226    3879       4       1      22       1       0
  1227    3883       4       1      21       4       0
  1228    3887       4       1      20       4       0
  1229    3891       4       1      21       2       0
  1230    3894       3       1      21       2       0
  1231    3898       4       1      21       2       1
  1232    3900       2       1      20       2       0
  1233    3904       4       1      19       4       0
  1234    3907       3       1      20       1       0
  1235    3910       3       1      21       1       0
  1236    3912       2       1      20       1       1
  1237    3915       3       1      20       1       1
  1238    3918       3       1      19       2       1
  1239    3924       6       1      19       5       0
  1240    3927       3       1      19       2       0
  1241    3930       3       1      17       4       0
  1242    3934       4       1      18       2       0
  1243    3938       4       1      18       3       0
  1244    3941       3       1      18       2       0
  1245    3945       4       1      19       2       0
  1246    3947       2       1      18       1       1
  1247    3950       3       1      18       2       0
  1248    3953       3       1      18       1       1
  1249    3956       3       1      19       0       1
  1250    3959       3       1      18       3       0
  1251    3962       3       1      18       2       0
  1252    3965       3       1      18       2       0
  1253    3968       3       1      18       2       0
  1254    3970       2       1      18       0       1
  1255    3973       3       1      17       2       1
  1256    3977       4       1      19       1       0
  1257    3980       3       1      18       2       1
  1258    3982       2       1      18       0       1
  1259    3992      10       1      12      15       0
  1260    3996       4       1       8       7       0
  1261    3999       3       1       8       2       0
  1262    4007       8       1      13       2       0
  1263    4012       5       1      16       1       0
  1264    4014       2       1      16       1       0
  1265    4018       4       1      17       2       0
  1266    4023       5       1      19       2       0
  1267    4026       3       1      20       1       0
  1268    4028       2       1      21       0       0
  1269    4031       3       1      21       2       0
  1270    4034       3       1      22       1       0
  1271    4037       3       1      21       3       0
  1272    4039       2       1      21       1       0
  1273    4043       4       1      22       2       0
  1274    4046       3       1      22       2       0
  1275    4049       3       1      23       1       0
  1276    4052       3       1      22       3       0
  1277    4055       3       1      23       1       0
  1278    4058       3       1      23       2       0
  1279    4061       3       1      23       1       1
  1280    4064       3       1      22       2       1
  1281    4074      10       1      13      18       0
  1282    4078       4       1       9       7       0
  1283    4081       3       1       9       2       0
  1284    4089       8       1      15       1       0
  1285    4093       4       1      17       1       0
  1286    4096       3       1      19       0       0
  1287    4102       6       1      20       4       0
  1288    4107       5       1      21       3       0
  1289    4112       5       1      22       3       0
  1290    4116       4       1      24       1       0
  1291    4119       3       1      24       2       0
  1292    4127       8       1      14      17       0
  1293    4135       8       1      14       7       0
  1294    4142       7       1      13       7       0
  1295    4149       7       1      17       2       0
  1296    4157       8       1      14      10       0
  1297    4164       7       1      15       5       0
  1298    4173       9       1      21       2       0
  1299    4179       6       1      15      11       0
  1300    4185       6       1      15       5       0
  1301    4190       5       1      15       4       0
  1302    4195       5       1      16       3       0
  1303    4200       5       1      17       3       0
  1304    4205       5       1      18       3       0
  1305    4211       6       1      20       3       0
  1306    4217       6       1      20       5       0
  1307    4223       6       1      21       4       0
  1308    4231       8       1      23       5       0
  1309    4236       5       1      22       5       0
  1310    4241       5       1      24       2       0
  1311    4245       4       1      24       3       0
  1312    4250       5       1      26       2       0
  1313    4254       4       1      25       4       0
  1314    4258       4       1      26       2       0
  1315    4262       4       1      26       2       1
  1316    4267       5       1      27       2       1
  1317    4272       5       1      27       3       1
  1318    4278       6       1      29       2       1
  1319    4285       7       1      33       2       0
  1320    4310      25       0      40       4      13
  1321    4335      25       0      40       2      22
  1322    4360      25       0      40       0      24
